Addis\4z\Attack, Wind, Blade\42, 53, 61; 322, 380, 435, 727, 727, 0\30, 37, 43; 226, 266, 305, 509, 509, 0\10\Bamboo Cutter;; Dignified Soul\Strength +3%/4%/5%/7%/10%;; (Wind) HP 80% = Water Res +1%/1%/3%/3%/5%\Bleeding Punisher +5%;; Bleeding Punisher +8%;;;; Freeze Res +50%;; Freeze Res +100%;;;; Broken Punisher +20%\Addis\Chiba Susumu\John Arthur\\M\Human\-\\\\
Althemia(Halloween)\4s\Healer, Light, Staff\46, 57, 66; 348, 410, 470, 786, 786, 0\26, 32, 38; 200, 235, 270, 452, 452, 0\8\Sweet Treat;; Bitter Trick\Recovery Potency +6%/8%/10%/14%/20%;; (Light) Paralysis = User Critical Rate +7%/7%/9%/9%/12%\Skill Prep +50%;; Skill Prep +75%;;;; Curse Res +50%;; Curse Res +100%;;;; Full HP = Strength +10%\Althemia\Ueda Kana\Tabitha St. Germain\\F\Sylvan\-\\\\
Amane\4\Attack, Light, Wand\43, 53, 61; 324, 381, 436, 729, 729, 0\29, 36, 41; 219, 258, 295, 494, 494, 0\8\Empyreal Levin;; Hallowed Raiments\Skill Damage +5%/6%/8%/11%/15%;; (Light) HP 80% = Shadow Res +1%/1%/3%/3%/5%\Skill Prep +50%;; Skill Prep +75%;;;; Curse Res +50%;; Curse Res +100%;;;; Broken Punisher +20%\Amane\Tamura Yukari\Kazumi Evans\\F\Human\-\\\\
Annelie\5\Support, Light, Lance\46, 57, 67; 351, 414, 475, 793, 793, 0\28, 35, 41; 214, 252, 289, 483, 483, 0\10\Stunning Display;; Smiles on Parade\HP +9%/10%/12%/13%/15%;; (Light) Energy = Strength +5%/6%/7%/8%/10%\HP 70% = Skill Damage +30%;; HP 70% = Skill Damage +35%;;;; Poison Res +50%;; Poison Res +100%;;;; Energized: Strength +15%;; Energized: Strength +20%\Annelie\Uchida Maaya\Danielle Ashton\\F\Sylvan\-\\\\
Aoi\3\Attack, Flame, Blade\41, 51, 59; 312, 368, 421, 843, 703, 505\29, 36, 41; 219, 258, 295, 592, 494, 354\10\Searing Chakram;; Foliage Flare\Strength +1%/3%/5%/7%/10%;; (Flame) Burn = User Wind Res +3%/3%/4%/4%/5%\Overdrive Punisher +5%;; Overdrive Punisher +8%;; Overdrive Punisher +15%;;;; Sleep Res +25%;; Sleep Res +50%;; Potent Sleep Res +50%;;;; Sleep Res +25%;; Sleep Res +50%\Aoi\Ueda Reina\Kelly Davidson\\F\Human\-\KoG\\\
Aoi(Wedding)\5\Support, Wind, Dagger\47, 58, 60; 361, 425, 480, 800, 800, 0\28, 34, 40; 211, 248, 284, 475, 475, 0\10\Ninja Bride Sweep;; Ninja Bride Sunshower\Critical Rate +5%/6%/7%/8%/10%;; (Wind) Above 10 Hits = Water Res +5%/6%/7%/8%/10%\Sleep = Team Strength +10%;; Sleep = Team Strength +15%;;;; Freeze Res +50%;; Freeze Res +100%;;;; Striking Haste +10%;; Striking Haste +12%\Aoi\Ueda Reina\Kelly Davidson\\F\Human\-\\\\
Audric\4w\Attack, Shadow, Sword\42, 42, 60; 317, 363, 427, 714, 714, 0\28, 28, 40; 213, 244, 287, 481, 481, 0\10\Exaltation Terminus;; Circlet Denouement\Dragon Haste +5%/6%/8%/11%/15%;; (Shadow) Dragon Haste +10%/10%/14%/14%/18%\Shapeshift Prep +8%;; Shapeshift Prep +10%;;;; Paralysis Res +25%;; Paralysis Res +50%;;;; Cursed Blood\Audric\Hosaya Yoshimasa\Adam Trask\\M\Human\-\\\\
Aurien\3\Healer, Flame, Staff\45, 55, 65; 339, 399, 458, 917, 765, 549\26, 32, 37; 198, 233, 266, 533, 445, 319\8\Healer's Luck;; Red Hot Jackpot\Recovery Potency +2%/6%/10%/14%/20%;; (Flame) Burn = Critical Rate +7%/7%/8%/8%/9%\HP 70% = Skill Damage +20%;; HP 70% = Skill Damage +25%;; HP 70% = Skill Damage +40%;;;; Sleep Res +25%;; Sleep Res +50%;; Potent Sleep Res +50%;;;; Sleep Res +25%;; Sleep Res +50%\Aurien\Hayami Show\Vincent Tong\\M\Human\-\\\\
Bellina\5\Attack, Shadow, Dagger\44, 55, 64; 335, 395, 453, 757, 757, 0\29, 36, 42; 222, 262, 300, 501, 501, 0\10\Renegade Descent;; Renegade Gambit\Critical Rate +5%/6%/7%/8%/10%;; (Shadow) HP Below 40% = Light Res +5%/6%/7%/8%/10%\Renegade Queen I;; Renegade Queen II;;;; Blindness Res +50%;; Blindness Res +100%;;;; HP Below 30% = Strength & Attack Rate II;; HP Below 30% = Strength & Attack Rate III\Bellina\Vanille\Vanille\\F\Human\-\\Dragon Prep and Haste will have an effect on Dragondrive. See DL!dmg/sp for more.\default;; Dragondrive; 290 + 180 gauge; 350 + 180 gauge; 520 + 240 gauge; 132; 360 + 900 gauge. 3000 Gauge max.\default;; Dragondrive; 189%; 227%; 340%; 89%; 509% Lv1, 565% L2
Berserker\4\Defense, Shadow, Sword\47, 58, 68; 357, 421, 483, 806, 806, 0\26, 32, 37; 197, 232, 265, 444, 444, 0\10\Calamity Wheel;; Living Fortress\Dragon Haste +5%/6%/8%/11%/15%;; (Shadow) HP Below 40% = Strength +10%/10%/12%/12%/14%\Striker's Skill +6%;; Striker's Skill +8%;;;; Blindness Res +50%;; Blindness Res +100%;;;; Last Offense +30%\Berserker\Yasumoto Hiroki\Justin Dominic\\M\Human\-\\\\
Berserker(Hunter)\5c\Attack, Flame, Sword\44, 55, 64; 334, 394, 452, 754, 754, 0\29, 36, 42; 224, 264, 302, 505, 505, 0\10\Moonbreaker;; Lion's Maw\Dragon Haste +8%/9%/11%/12%/15%;; (Flame) Damage Taken = Force Strike Damage I/II/III/IV/VI\Great Sword Expertise I;; Great Sword Expertise II;;;; Sleep Res +50%;; Sleep Res +100%;;;; Reduced Defense Devastator +15%;; Reduced Defense Devastator +20%\Berserker\Yasumoto Hiroki\Justin Dominic\MH\M\Human\-\\\FS; 600 Lv1, 960 Lv2, 1400 Lv3\FS; 266%/296% Lv1, 382%/424% Lv2, 493%/548% Lv3
Botan\4w\Defense, Shadow, Lance\46, 46, 66; 348, 399, 470, 942, 785, 564\25, 25, 37; 194, 223, 263, 526, 439, 315\10\Petal Piercer;; Perennial Grace\HP +7%/8%/9%/12%/15%;; (Shadow) Defense +1%/1%/3%/3%/5%\Thaumian's Bane +20%;; Thaumian's Bane +25%;; Thaumian's Bane +35%;;;; Paralysis Res +25%;; Paralysis Res +50%;; Potent Paralysis Res +100%;;;; Skill Prep +50%;; Skill Prep +100%;; Skill Prep & Skill Charge\Botan\Hirano Aya\Caitlyn Bairstow\\F\Human\-;; Skill Prep +100%;;;; -;; Skill Charge\\\\
Cassandra\5\Attack, Shadow, Wand\43, 54, 63; 330, 389, 446, 893, 745, 535\30, 37, 43; 228, 268, 307, 616, 514, 368\8\Umbral Assault;; Violet Uproar\Skill Damage +8%/9%/11%/12%/15%;; (Shadow) Poison = User Light Res +3%/4%/5%/6%/8%\Skill Prep +75%;; Skill Prep +100%;; Skill Prep & Skill Charge;;;; Paralysis Res +50%;; Paralysis Res +100%;; Potent Paralysis Res +100%;;;; Resilient Offense +8%;; Resilient Offense +10%;; Resilient Offense +15%\Cassandra\Yuzuki Ryoka\Cherilynn Fulbright\\F\Human\-;; Skill Prep +100%;;;; -;; Skill Charge\\\\
Celliera\4w\Attack, Water, Blade\41, 41, 60; 313, 359, 423, 706, 706, 0\29, 29, 41; 218, 250, 294, 492, 492, 0\10\Ardent Stream;; Winter's Blade\Strength +3%/4%/5%/7%/10%;; (Water) HP Below 40% = Flame Res +5%/5%/7%/7%/9%\Thaumian's Bane +20%;; Thaumian's Bane +25%;;;; Burn Res +25%;; Burn Res +50%;;;; HP 70% = Strength +8%\Celliera\Hikasa Yoko\Michelle Schloff\\F\Human\-\\\\
Celliera(Summer)\5\Support, Water, Sword\47, 58, 67; 354, 417, 477, 797, 797, 0\28, 34, 40; 212, 249, 286, 479, 479, 0\10\Ocean Fury;; Pep Talk\Dragon Haste +8%/9%/11%/12%/15%;; (Water) Dragon's Claws I/II/III/IV/VI\Strength Doublebuff +10%;; Strength Doublebuff +13%;;;; Burn Res +50%;; Burn Res +100%;;;; Buff Time +25%;; Buff Time +30%\Celliera\Hikasa Yoko\Michelle Schloff\\F\Human\-\\\\
Chelsea\5\Attack, Flame, Bow\45, 55, 64; 338, 398, 456, 763, 763, 0\29, 36, 42; 219, 258, 296, 495, 495, 0\8\Love's Liberation;; Bruiser Bliss\Skill Haste +8%/9%/11%/12%/15%;; (Flame) HP Below 40% = Shield I/II/III/IV/V\HP Below 30% = Strength & Attack Rate II;; HP Below 30% = Strength & Attack Rate III;;;; Stun Res +50%;; Stun Res +100%;;;; Obesessive Love I;; Obsessive Love II\Chelsea\Fukuen Misato\Becky Hachey\\F\Sylvan\-\\\\
Chitose\4z\Defense, Light, Wand\47, 58, 68; 357, 420, 482, 805, 805, 0\26, 32, 37; 198, 233, 267, 447, 447, 0\8\Love & Acclaim;; Radical Radiance\Skill Damage +5%/6%/8%/11%/15%;; (Light) Defense +1%/1%/3%/3%/5%\Love's Shield I;; Love's Shield II;;;; Curse Res +50%;; Curse Res +100%;;;; Defensive Stance II\Chitose\Aoi Shouta\John Connolly\\M\Human\-\\\\
Chrom\5c\Attack, Flame, Sword\44, 55, 64; 334, 394, 452, 754, 754, 0\29, 36, 42; 224, 264, 302, 505, 505, 0\10\Unknown;; Aether\Dragon Haste +8%/9%/11%/12%/15%;; (Flame) Above 10 hits = Strength +6%/7%/8%/9%/13%\Unknown;; Unknown;;;; Unknown;; Unknown;;;; Unknown;; Unknown\Chrom\Vanille\Vanille\FEH\M\Human\-\\MARTH PLACEHOLDER VALUES\\
Cibella\3\Defense, Water, Lance\46, 57, 67; 350, 412, 473, 790, 790, 0\25, 31, 37; 194, 228, 262, 437, 437, 0\10\Virtuous Guard;; Holy Wreath\HP +5%/7%/9%/12%/15%;; (Water) Buff Time +1%/2%/3%/4%/5%\Last Recovery I;; Last Recovery II;;;; Stun Res +25%;; Stun Res +50%;;;; Stun Res +25%\Cibella\Ayaka Fukuhara\AJ Vasquez\\F\Human\-\\\\
Cleo\4y\Healer, Shadow, Staff\45, 55, 64; 338, 398, 456, 915, 763, 547\26, 32, 37; 198, 233, 266, 535, 446, 319\8\Elder Cure;; Ancient Aegis\Recovery Potency +6%/8%/10%/14%/20%;; Dragon's Claws I/I/II/II/III\Skill Prep +50%;; Skill Prep +75%;; Magical Reduction I;;;; Paralysis Res +50%;; Paralysis Res +100%;; Potent Paralysis Res +100%;;;; HP 70% = Defense +8%;; HP 70% = Defense +15%\Cleo\Uchiyama Yumi\Siobhan Rebecca\\F\Sylvan\-\\\\
Cleo(Dragonyule)\5s\Support, Water, Dagger\47, 58, 68; 355, 418, 480, 801, 801, 0\27, 34, 40; 210, 248, 284, 474, 474, 0\10\Starlit Gift;; Empyrean Grace\Critical Rate +5%/6%/7%/8%/10%;; (Water) Combo Time I/II/III/IV/VI\HP 70% = Strength +10%;; HP 70% = Strength +13%;;;; Stun Res +50%;; Stun Res +100%;;;; 35 Hits = Energy Level Up;; 30 Hits = Energy Level Up\Cleo\Uchiyama Yumi\Siobhan Rebecca\\F\Sylvan\-\\\\
Cleo(Summer)\5\Support, Light, Bow\47, 58, 68; 358, 422, 484, 808, 808, 0\27, 34, 39; 207, 245, 280, 469, 469, 0\8\Parasol Shot;; Tropical Breeze\Skill Haste +8%/9%/11%/12%/15%;; (Light) Above 10 hits = Shadow Res +5%/6%/7%/8%/10%\Paralysis = Skill Haste +8%;; Paralysis = Skill Haste +10%;;;; Curse Res +50%;; Curse Res +100%;;;; Paralyzed Punisher +25%;; Paralyzed Punisher +30%\Cleo\Uchiyama Yumi\Siobhan Rebecca\\F\Sylvan\-\\\\
Curran\5\Attack, Shadow, Axe\43, 54, 62; 328, 387, 443, 888, 741, 531\30, 37, 44; 230, 271, 311, 622, 519, 373\10\Circular Judgement;; Merciless Blow\Defense +9%/10%/11%/12%/15%;; (Shadow) HP Below 40% = Strength +10%/11%/12%/13%/15%\Overdrive Punisher +10%;; Overdrive Punisher +13%;; Overdrive Punisher +15%;;;; Paralysis Res +50%;; Paralysis Res +100%;; Potent Paralysis Res +100%;;;; Last Offense +40%;; Last Offense +50%;; Last Offense +60%\Curran\Miyake Kenta\Graeme Davies\\M\Human\-\\\\
Delphi\5\Support, Shadow, Dagger\47, 58, 67; 354, 417, 477, 956, 797, 572\28, 34, 40; 211, 248, 285, 572, 477, 342\10\Ruination Cage;; Corrosive Cage\Critical Rate +5%/6%/7%/8%/10%;; (Shadow) Poison Edge +30%/35%/40%/45%/50%\Poisonous Cage I;; Poisonous Cage II;; Poisonous Cage III;;;; Paralysis Res +50%;; Paralysis Res +100%;; Potent Paralysis Res +100%;;;; Flurry Poison Edge +50%;; Flurry Poison Edge +60%;; Flurry Poison Edge +70%;;;; 1\Delphi\Yamashita Daiki\Aidan Drummond\\M\Human\-\\\\
Durant\4\Attack, Shadow, Blade\42, 52, 60; 317, 374, 428, 716, 716, 0\29, 36, 42; 224, 264, 302, 505, 505, 0\10\Biting Revenge;; Unchained Rage\Strength +3%/4%/5%/7%/10%;; (Shadow) HP 80% = Light Res +1%/1%/3%/3%/5%\Full HP = Strength +10%;; Full HP = Strength +13%;;;; Paralysis Res +50%;; Paralysis Res +100%;;;; Full HP = Critical Damage +17%\Durant\Hirose Daisuke\Deven Mack\\M\Human\-\\\\
Edward\3\Healer, Shadow, Staff\45, 55, 64; 338, 398, 456, 763, 763, 0\26, 32, 37; 198, 233, 266, 446, 446, 0\8\Impeccable Service;; Butler's Guard\Recovery Potency +2%/6%/10%/14%/20%;; (Shadow) HP 60% = Strength +1%/1%/2%/2%/3%\Full HP = Healing +10%;; Full HP = Healing +13%;;;; Blindness Res +25%;; Blindness Res +50%;;;; Blindness Res +25%\Edward\Terashima Takuma\Graham Hamilton\\M\Human\-\\\\
Edward(Halloween)\3s\Attack, Light, Blade\41, 51, 60; 313, 369, 424, 707, 707, 0\28, 35, 41; 217, 256, 293, 491, 491, 0\10\Vampire Slash;; Nightmare Waltz\Strength +1%/3%/5%/7%/10%;; (Light) HP Below 60% = HP Regen I/I/III/III/IV\Full HP = Strength +8%;; Full HP = Strength +10%;;;; Curse Res +25%;; Curse Res +50%;;;; Curse Res +25%\Edward\Terashima Takuma\Graham Hamilton\\M\Human\-\\\\
Eleonora\4\Attack, Wind, Bow\43, 54, 62; 328, 387, 443, 741, 741, 0\28, 34, 40; 212, 249, 286, 478, 478, 0\8\Viper Bolt;; Vendetta Arrow\Skill Haste +5%/6%/8%/11%/15%;; (Wind) Poison Edge +25%/30%/35%/40%/45%\Full HP = Poison +40%;; Full HP = Poison +50%;;;; Bog Res +50%;; Bog Res +100%;;;; Skill Prep +50%\Eleonora\Kawasumi Ayako\Raynn Eastwood\\F\Sylvan\-\\\\
Elias\4w\Defense, Light, Bow\46, 46, 66; 346, 397, 467, 806, 806, 0\24, 24, 34; 181, 208, 244, 423, 423, 0\8\Uptempo Chord;; Virtuoso Anthem\Skill Haste +5%/6%/8%/11%/15%;; (Light) Energy = Shadow Res +3%/3%/5%/5%/7%\Demon's Bane +20%;; Demon's Bane +25%;;;; Curse Res +25%;; Curse Res +50%;;;; Last Offense +30%\Elias\Nakashima Yuki\Cassandra Fan\\M\Human\-\\\\
Elisanne\4y\Support, Water, Lance\44, 63, 72; 328, 395, 451, 752, 752, 0\27, 38, 44; 201, 241, 276, 460, 460, 0\10\Brave Bastion;; Hallowed Waters\HP +7%/8%/9%/12%/15%;; HP 60% = Strength +1%/1%/2%/2%/3%\Buff Time +20%;; Buff Time +25%;;;; Burn Res +25%;; Burn Res +50%;;;; Stun Res +25%\Elisanne\Hayami Saori\Ava Lindstrom\\F\Human\-\\\\
Elisanne(Halloween)\5s\Support, Light, Lance\46, 57, 67; 351, 414, 475, 793, 793, 0\28, 35, 41; 214, 252, 289, 483, 483, 0\10\Sacred Maiden;; Mischief Maker\HP +9%/10%/12%/13%/15%;; (Light) Above 10 Hits = Strength +6%/7%/8%/9%/13%\Skill Damage +25%;; Skill Damage +30%;;;; Curse Res +50%;; Curse Res +100%;;;; Gauge Accelerator +30%;; Gauge Accelerator +35%\Elisanne\Hayami Saori\Ava Lindstrom\\F\Human\-\\\\
Elisanne(Wedding)\5\Support, Wind, Sword\46, 58, 67; 352, 416, 476, 795, 795, 0\28, 35, 40; 213, 251, 287, 480, 480, 0\10\Sacred Union;; Wedding Bell\Dragon Haste +8%/9%/11%/12%/15%;; (Wind) HP 60% = Strength +1%/2%/3%/4%/6%\Skill Haste +6%;; Skill Haste +8%;;;; Bog Res +50%;; Bog Res +100%;;;; Strength Doublebuff +10%;; Strength Doublebuff +13%\Elisanne\Hayami Saori\Ava Lindstrom\\F\Human\-\\\\
Emma\4\Support, Flame, Lance\45, 55, 65; 339, 399, 458, 765, 765, 0\27, 34, 40; 208, 246, 282, 471, 471, 0\10\Pom-pom Pump;; Vigorous Defense\HP +7%/8%/9%/12%/15%;; (Flame) HP Below 40% = Strength +10%/10%/12%/12%/14%\Buff Time +20%;; Buff Time +25%;;;; Sleep Res +50%;; Sleep Res +100%;;;; Primed Strength +5%\Emma\Yuuki Aoi\Rachel McFly\\F\Human\-\\\\
Erik\3\Attack, Shadow, Axe\41, 51, 59; 312, 368, 421, 844, 704, 505\29, 35, 41; 218, 256, 294, 590, 493, 352\10\Tenacious Swing;; Wild Strike\Defense +5%/7%/9%/11%/15%;; (Shadow) Poison = User Strength +6%/6%/7%/7%/8%\Force Strike +20%;; Force Strike +30%;; Wild Noble;;;; Blindness Res +25%;; Blindness Res +50%;; Potent Blind Res +50%;;;; Blindness Res +25%;; Blindness Res +50%\Erik\Masuda Toshiki\Michael Richards\\M\Human\-\KoG\\\
Estelle\3\Healer, Light, Staff\45, 56, 65; 341, 402, 461, 769, 769, 0\26, 32, 37; 197, 232, 265, 443, 443, 0\8\Healing Faith;; Guardian's Grace\Recovery Potency +2%/6%/10%/14%/20%;; (Light) HP +5%/5%/6%/6%/7%\Force Strike +20%;; Force Strike +30%;;;; Curse Res +25%;; Curse Res +50%;;;; Sleep Res +25%\Estelle\Tanaka Minami\Tabitha St. Germain\\F\Human\-\\\\
Estelle(Summer)\4w\Support, Water, Wand\45, 55, 65; 340, 400, 459, 766, 766, 0\27, 34, 40; 208, 246, 282, 471, 471, 0\8\Seaside Punisher;; Lifeguard Lift\Skill Damage +5%/6%/8%/11%/15%;; (Water) Buff Time +5%/6%/7%/8%/9%\Demihuman's Bane +25%;; Demihuman's Bane +30%;;;; Stun Res +25%;; Stun Res +50%;;;; Buff Time +20%\Estelle\Tanaka Minami\Tabitha St. Germain\\F\Human\-\\\\
Euden\4y\Attack, Flame, Sword\42, 60, 68; 312, 376, 429, 858, 716, 514\28, 40, 46; 209, 252, 288, 575, 480, 345\10\Blazing Circlet;; Exalted Fire\Dragon Haste +5%/6%/8%/11%/15%;; Dragon Haste +10%/10%/12%/12%/14%\Dragon's Claws I;; Dragon's Claws II;; Dragon's Claws IV;;;; Stun Res +50%;; Stun Res +100%;; Potent Stun Res +100%;;;; Player EXP +10%;; Player EXP +15%;; Dragon's Dominance\Euden\Uchiyama Koki\Vincent Tong\\M\Human\-\\\\
Ezelith\5\Support, Flame, Dagger\47, 58, 67; 354, 417, 477, 957, 798, 572\28, 34, 40; 211, 248, 285, 571, 476, 342\10\Howling Meteor;; Brilliant Inferno\Critical Rate +5%/6%/7%/8%/10%;; (Flame) Combo Time I/II/III/IV/VI\Flurry Debilitator +15%;; Flurry Debilitator +20%;; Flash of Genius;;;; Sleep Res +50%;; Sleep Res +100%;; Potent Sleep Res +100%;;;; Broken Punisher +25%;; Broken Punisher +30%;; Broken Punisher +35%\Ezelith\Ueda Kana\Sabrina Pitre\\F\Human\-\KoG\\\
Ezelith(Valentines)\4f\Support, Flame, Bow\46, 57, 66; 349, 411, 471, 787, 787, 0\27, 33, 39; 204, 240, 276, 462, 462, 0\8\Floral Explosion;; Piercing Rose\Skill Haste +5%/6%/8%/11%/15%;; (Flame) Burn = User Wind Res +3%/3%/5%/5%/7%\40 Hits = Energy Level Up;; 35 Hits = Energy Level Up;;;; Stun Res +50%;; Stun Res +100%;;;; Broken Punisher +20%\Ezelith\Ueda Kana\Sabrina Pitre\\F\Human\-\\\\
Felicia\4w\Healer, Light, Staff\45, 45, 65; 341, 391, 461, 769, 769, 0\26, 26, 37; 197, 226, 265, 443, 443, 0\8\Heaven's Blessing;; Cleansing Dance\Recovery Potency +6%/8%/10%/14%/20%;; (Light) Defense +1%/1%/3%/3%/5%\Undead Res +15%;; Undead Res +20%;;;; Poison Res +25%;; Poison Res +50%;;;; Skill Prep +50%\Felicia\Sembongi Sayaka\Kayley Wallas-Moyer\\F\Sylvan\-\\\\
Fjorm\5c\Attack, Water, Lance\44, 54, 63; 334, 393, 450, 902, 752, 540\29, 37, 43; 224, 265, 304, 608, 508, 364\10\Frigid Smash;; Ice Mirror\HP +9%/10%/12%/13%/15%;; (Water) Frostbite = User Strength +6%/7%/8%/9%/13%\Last Bravery I;; Last Bravery II;; Last Bravery III;;;; Burn Res +50%;; Burn Res +100%;; Potent Burn Res +100%;;;; Skill Prep +75%;; Skill Prep +100%;; Skill Prep & Skill Charge\Fjorm\Takahashi Rie\Heather Watson\FEH\F\Human\-;; Skill Prep +100%;;;; -;; Skill Charge\\\\
