A Heartfelt Gift\5w\Support\1, 10\1, 10\Loving Heart;; Loving Heart\5000, 300\bukurote
Heavenly Holiday\5\Defense\29, 195\6, 46\Curse Res +50%;; Curse Res +60%;;;; (Light) Curse Res +25%;; (Light) Curse Res +40%\5000, 3000\ezusuke
Heralds of Hinomoto\5s\Attack\26, 177\9, 64\Skill Damage +20%;; Skill Damage +25%;;;; Skill Haste +4%;; Skill Haste +5%\5000, 3000\bukurote
Honest Repose\5w\Support\1, 116\1, 40\(Flame) Skill Haste +8%;; (Flame) Skill Haste +8%\3000, 300\
How to Flee Properly\4\Defense\22, 151\6, 41\Last Defense +40%;; Last Defense +50%;;;; Recovery Potency +3%;; Recovery Potency +5%\2000, 1000\Naoki Saito
Howling Predator\3\Attack\10, 71\3, 25\Critical Rate +3%;; Critical Rate +4%\300, 150\Kouta Nagamori
Ironside Shield\3\Defense\11, 76\3, 20\Last Defense +30%;; Last Defense +40%\300, 150\Tricky Agura
Jewels of the Sun\5\Healing\26, 176\9, 64\Skill Haste +5%;; Skill Haste +6%;;;; HP 70% = Strength +5%;; HP 70% = Strength +8%\5000, 3000\ell
Kicking Back\4\Attack\22, 147\6, 45\(Light) Critical Rate +5%;; (Light) Critical Rate +6%;;;; Shadow Res +3%;; Shadow Res +5%\2000, 1000\u-u-zan
King's Countenance\4\Support\22, 151\6, 41\Curse Res +20%;; Curse Res +25%;;;; Shapeshift Prep +8%;; Shapeshift Prep +10%\2000, 1000\Attall Nambo
Kung Fu Masters\5\Attack\26, 176\9, 64\(Axe) Critical Rate +10%;; (Axe) Critical Rate +12%;;;; Skill Damage +10%;; Skill Damage +15%\5000, 3000\u-u-zan
Lakeside Euphony\3\Defense\11, 76\3, 20\Bog Res +15%;; Bog Res +20%\300, 150\Joshua Hutchinson
Levin's Champion\5\Attack\26, 176\9, 64\HP 70% = Critical Rate +6%;; HP 70% = Critical Rate +8%;;;; Critical Damage +10%;; Critical Damage +13%\5000, 3000\ufotable
Liber Grimortis\3\Attack\10, 71\3, 25\Skill Damage +10%;; Skill Damage +15%\300, 150\ALOMA
Lord of the Skies\4\Support\21, 146\6, 46\Overdrive Punisher +5%;; Overdrive Punisher +8%;;;; Shadow Res +3%;; Shadow Res +5%\2000, 1000\LM7
Louise's Hobbies\5w\Support\23, 155\7, 49\Recovery Potency +8%;; Recovery Potency +10%;;;; Windwhistle Grass +25%;; Windwhistle Grass +50%;;;; Divine Gales +25%;; Divine Gales +50%\5000, 300\irua
Luca's Prank\5\Attack\27, 183\8, 57\Skill Damage +20%;; Skill Damage +25%;;;; Light Res +5%;; Light Res +8%\5000, 3000\Nijihara
Luck of the Draw\4w\Defense\18, 122\4, 33\Paralysis Res +15%;; Paralysis Res +20%;;;; (Shadow) Buff Time +15%;; (Shadow) Buff Time +20%\2000, 100\Oyume
Lunar Festivities\4\Attack\21, 141\7, 51\Force Strike +20%;; Force Strike +30%;;;; Striking Haste +6%;; Striking Haste +8%\2000, 1000\Dragalia Designer Team
Mana Fount\2\Attack\5, 35\1, 13\Skill Damage +5%;; Skill Damage +10%\50, 0\Nadare
Nevermelt Ice\3\Defense\11, 76\3, 20\Freeze Res +15%;; Freeze Res +20%\300, 150\Akira Miyazaki
Night Harbinger\3\Attack\10, 71\3, 25\Full HP = Strength +5%;; Full HP = Strength +8%\300, 150\Kazashino
Nightstalker\5\Attack\27, 183\8, 57\Force Strike +30%;; Force Strike +40%;;;; Freeze Res +20%;; Freeze Res +25%\5000, 3000\issei
Of Tricks and Treats\5s\Support\27, 184\8, 56\Skill Prep +20%;; Skill Prep +25%;;;; Shadow Res +5%;; Shadow Res +8%;;;; Tricker Treats +50%;; Tricker Treats +100%\5000, 3000\Naoki Saito
Old Harp\2\Healing\5, 36\1, 12\Recovery Potency +2%;; Recovery Potency +3%\50, 0\mstk
One with the Shadows\4\Attack\21, 141\7, 51\Critical Rate +4%;; Critical Rate +5%;;;; Broken Punisher +10%;; Broken Punisher +15%\2000, 1000\ell
Paladyn Defender\4w\Defense\18, 122\4, 33\Burn Res +15%;; Burn Res +20%;;;; Skill Prep +10%;; Skill Prep +15%;;;; Phraeganoth's Bane +20%;; Phraeganoth's Bane +25%\2000, 100\Usi
Plunder Pals\5w\Attack\22, 151\8, 54\Skill Damage +20%;; Skill Damage +25%;;;; Snack-o'-Lanterns +25%;; Snack-o'-Lanterns +50%;;;; Tricker Treats +25%;; Tricker Treats +50%\5000, 300\Usi
Potiongrass\3\Defense\11, 76\3, 20\Poison Res +15%;; Poison Res +20%\300, 150\bukurote
Promises in the Rain\4\Defense\23, 156\5, 37\Bog Res +20%;; Bog Res +25%;;;; Water Res +3%;; Water Res +5%\2000, 1000\Shikaku Yamamoto
Pumpkin Pail\3s\Defense\11, 76\3, 20\Curse Res +15%;; Curse Res +20%;;;; Snack-o'-Lanterns +25%;; Snack-o'-Lanterns +50%\300, 150\Chiaki Negishi
Resounding Rendition\5\Attack\26, 177\9, 64\Skill Damage +20%;; Skill Damage +25%;;;; HP 70% = Critical Rate +5%;; HP 70% = Critical Rate +6%\5000, 3000\Mayoko
Revolutionary Magic\4\Attack\21, 146\6, 46\Full HP = Skill Damage +25%;; Full HP = Skill Damage +30%;;;; Paralysis Res +15%;; Paralysis Res +20%\2000, 1000\liiko
Ring of Exaltation\2\Attack\5, 36\1, 12\Critical Rate +2%;; Critical Rate +3%\50, 0\Akira Miyazaki
Roast Feast\3s\Support\10, 73\3, 23\Recovery Potency +3%;; Recovery Potency +5%;;;; Astral Ornament +50%;; Astral Ornament +75%\300, 150\mochuhiro
Saintly Delivery\4s\Defense\22, 150\6, 42\Stun Res +20%;; Stun Res +25%;;;; Skill Damage +10%;; Skill Damage +15%;;;; Astral Ornament +50%;; Astral Ornament +75%\2000, 1000\hajime
Samurai Siesta\4\Defense\22, 151\6, 41\Sleep Res +40%;; Sleep Res +50%\2000, 1000\ICHIGO
Scorn the Destrier\3\Attack\10, 71\3, 25\Broken Punisher +10%;; Broken Punisher +15%\300, 150\Budi
Seafood Soup\2\Support\5, 36\1, 12\Skill Prep +8%;; Skill Prep +10%\50, 0\Makai no Jumin
Secret Friend\3\Support\10, 71\3, 25\(Light) Skill Haste +4%;; (Light) Skill Haste +5%\300, 150\ShuLa
Silke Lends a Hand\4s\Defense\22, 150\6, 42\Blindness Res +20%;; Blindness Res +25%;;;; Skill Damage +10%;; Skill Damage +15%;;;; Snack-o'-Lanterns +25%;; Snack-o'-Lanterns +50%\2000, 1000\tetsuo
Sisters of the Anvil\4\Attack\21, 146\6, 46\Strength Doublebuff +5%;; Strength Doublebuff +8%;;;; Stun Res +15%;; Stun Res +20%\2000, 1000\hajime
Slow and Steady\4\Defense\23, 156\5, 37\Poison Res +20%;; Poison Res +25%;;;; Shadow Res +3%, Shadow Res +5%;;;; Tent Canvas +50%;; Tent Canvas +75%\2000, 1000\benitama
Sniper's Allure\4\Attack\21, 141\7, 51\Broken Punisher +15%;; Broken Punisher +20%;;;; Skill Prep +10%;; Skill Prep +15%\2000, 1000\Tsune-kun
Stellar Show\5\Attack\26, 176\9, 65\Force Strike +30%;; Force Strike +40%;;;; Critical Damage +10%;; Critical Damage +13%;;;; Renown +100%;; Renown +150%\5000, 3000\Rino
Syndicate Mask\3\Defense\11, 76\3, 20\Blindness Res +15%;; Blindness Res +20%\300, 150\Akira Miyazaki
Take My Hand\5w\Healing\1, 118\1, 38\Recovery Potency +10%;; Recovery Potency +10%\5000, 300\
Teatime\3\Support\10, 71\3, 25\Skill Prep +10%;; Skill Prep +15%\300, 150\ShuLa
The Chocolatiers\5\Support\26, 178\9, 62\Skill Prep +75%;; Skill Prep +100%\5000, 3000\oyume
The Greatest Gift\5w\Support\1, 10\1, 10\Happy Dragonyule!;; Happy Dragonyule!\5000, 300\Dragalia Lost Art Team
The Halidom's Picnic\3\Defense\11, 76\3, 20\Sleep Res +15%;; Sleep Res +20%\300, 150\R-ko A-yama
The Petal Queen\5w\Support\22, 151\7, 53\Energy Prep;; Energized Prep\5000, 300\Eri Yanagawa
The Prince of Dragonyule\5s\Attack\26, 177\9, 63\Critical Damage +13%;; Critical Damage +15%;;;; (Water) Flurry Devastation +8%;; (Water) Flurry Devastation +10%;;;; Holiday Cheer +100%;; Holiday Cheer +150%\5000, 3000\Naoki Saito
The Rose Prince\5\Support\29, 195\6, 46\(Flame) Affliction Guard I;; (Flame) Affliction Guard II;;;; Shield Prep I;; Shield Prep II\5000, 3000\sosuke miyana
The Warrioresses\4\Attack\21, 140\7, 52\Force Strike +20%;; Force Strike +30%;;;; Critical Damage +8%;; Critical Damage +10%\2000, 1000\Maki
Together We Stand\4\Attack\21, 140\7, 52\Striker's Strength +3%;; Striker's Strength +4%;;;; Skill Damage +10%;; Skill Damage +15%\2000, 1000\Rino
To My Beloved\3\Support\10, 71\3, 25\Skill Haste +10%;; Skill Haste +15%\300, 150\touhudashi
Tough Love\5\Attack\26, 176\9, 65\Last Offense +30%;; Last Offense +40%;;;; Skill Damage +15%;; Skill Damage +20%\5000, 3000\N.A
Tracks of Hope\3\Defense\11, 76\3, 20\Stun Res +15%;; Stun Res +20%\300, 150\Meso
Trove of Knowledge\4\Defense\23, 156\5, 37\Stun Res +20%;; Stun Res +25%;;;; Wind Res +3%;; Wind Res +5%\2000, 1000\Nijihara
Unfulfilled Visions\3\Attack\10, 71\3, 25\Slayer's Strength +2%;; Slayer's Strength +3%\300, 150\Joshua Hutchinson
Valentine's Venture\5\Attack\1, 115\1, 41\Last Offense +40%;; Last Offense +40%\5000, 300\ezusuke
Valiant Crown\5w\Attack\26, 176\9, 65\Skill Damage +20%;; Skill Damage +25%;;;; Strength Doublebuff +5%;; Strength Doublebuff +8%\5000, 3000\Akihiko Yoshida
Vio Rhyse Alberia!\3\Attack\10, 71\3, 25\Slayer's Strength +2%;; Slayer's Strength +3%\300, 150\png
Volcanic Queen\5\Defense\24, 165\5, 39\High Brunhilda Res +20%;; High Brunhilda Res +25%;;;; Brunhilda Res +15%;; Brunhilda Res +20%;;;; Flame Res +3%;; Flame Res +5%\5000, 300\Nejita
Warlust\4\Attack\21, 140\7, 52\Last Offense +20%;; Last Offense +30%;;;; Skill Damage +10%;; Skill Damage +15%\2000, 1000\ICHIGO
Warrior Maiden\5\Support\27, 180\9, 60\Recovery Potency +8%;; Recovery Potency +10%;;;; Slayer's Strength +3%;; Slayer's Strength +4%\5000, 3000\Tsune-kun
Welcome, One and All\3\Healing\10, 71\3, 25\Skill Prep +10%;; Skill Prep +15%;;;; Tent Canvas +50%;; Tent Canvas +75%\300, 150\ShuLa
What a Handful!\4\Healing\22, 150\6, 42\Recovery Potency +5%;; Recovery Potency +8%;;;; Poison Res +15%;; Poison Res +20%\2000, 1000\Mayoko
Winds of Saint Lotier\3\Healing\10, 73\3, 23\Recovery Potency +3%;; Recovery Potency +5%\300, 150\STAR BEARS
Witch's Kitchen\5s\Attack\27, 183\8, 57\Full HP = Skill Damage +30%;; Full HP = Skill Damage +35%;;;; Blindness Res +20%;; Blindness Res +25%;;;; Tricker Treats +50%;; Tricker Treats +100%\5000, 3000\Mushimaro
Worthy Rivals\5\Attack\26, 177\9, 64\Broken Punisher +20%;; Broken Punisher +25%;;;; Skill Prep +15%;; Skill Prep +20%\5000, 3000\ufotable
